waktu,clean_text
2025-07-10,dapet 4 telpon berturut-turut dengan nomer yang mirip dan cuma beda dua nomer di akhir
2025-07-10,"hampir kena scam ""skema segitiga"" jual beli mobil"
2025-06-25,phone number got leaked.
2025-06-14,safety checklist saat cod
2025-06-11,polisi tangkap 38 pelaku love scamming internasional di bali
2025-06-11,mengingat kembali dwi hartanto
2025-06-10,penipuan berkedok misi / wfh
2025-06-02,jurnalisme indonesia
2025-05-30,kena penipuan di tokped.
2025-05-25,kontak screening
2025-05-24,segitunya pinjol nyari mangsa. kotor banget mainnya
2025-05-21,apakah penipuan di facebook bisa di tindak lanjuti?
2025-05-20,spam calls
2025-05-11,ini penipuan atau genuine mistake?
2025-05-10,"ortu gw kena hack akun dana, duit hilang jutaan"
2025-04-25,modus penipuan baru! hp hilang titik lokasi di dalam rumah korban
2025-04-24,percobaan penipuan (pemerasan). hati hati buat yg gaptek sama iphone.
2025-04-15,masih heran kenapa pemerintah nggak ban industri pinjol?
2025-04-13,sebenarnya bagaimana esim bisa menanggulangi masalah penipuan dan pencurian data?
2025-04-11,apakah yang saya alami ini modus penipuan? apa yang sebaiknya saya lakukan?
2025-04-09,telkomsel motong pulsa/kuota meski hp terconnect wifi?
2025-04-06,"komodos yang pernah ketipu perkara jual beli tanah atau properti, what's your story?"
2025-04-06,duit ga dibalikin setelah gagal jual tanah
2025-04-03,waspada modus penipuan halo bca
2025-03-25,"penipuan seller tokopedia, ada yang pernah?"
2025-03-18,kemlu ri pulangkan 400 wni korban penipuan online di myanmar
2025-03-12,followed by strangers on ig
2025-03-12,"24 daerah yang pilkadanya mesti diulang. case per case analysis - part 1: pasaman, mahakam ulu, boven digoel, barito utara, tasikmalaya, magetan"
2025-03-08,rekomendasi brand baju lebaran
2025-03-07,possible class-action lawsuit for pertamina
2025-02-28,apakah bisa mencari keadilan di indonesia tanpa melalui viral dan orang dalam?
2025-02-19,ai kembali dari masa depan
2025-02-12,dah lama nggak pake jobstreet masih suka dapet penipuan kayak gini
2025-01-14,cara lapor penipuan online yang sedang berjalan
2025-01-10,percobaan scam modus cod
2024-12-31,tiba2 ada duit masuk ke rekening bank berasal dari sumber yang tidak dikenal. apakah modus penipuan? ada yg pernah mengalami hal serupa?
2024-12-29,modus penipuan berkedok program makan bergizi gratis terungkap di magelang
2024-12-27,bagaimana cara kalian mengatasi peminta sumbangan?
2024-12-23,penipuan modus cod?
2024-12-20,modus penipuan. kirim barang ke luar negeri?
2024-12-20,"hari ini banget kok banyak nomor telpon tak dikenal tiba tiba telpon ya, ada info kebocoran data baru?"
